sentence	label
Wow, and coming from the expert on sucks.	1
The point was someone with a gun confronted the shooter and caused him to run. If not, he would have stayed in the church until everybody was dead.	0
Yeah. They should have at least gone into the bathroom.	0
Merkel is an idoit. Vote for term limits then I will listen	1
Trump has the Mexicans going home, and the Haitians, and Somalis going to Canada, and he's calling Trump stupid???	1
That's some dangerous misinformation you are spouting. Please provide a source for your silly claims.	1
Not a problem, Hillary thought she was going to win in a landslide. Sore loser, sour grapes.	1
"Im not sure why you are posting right now about sarcasm in light of seriousness. First of all, her real and close friends are probably distraught and her family is probably going to generally have a hard time trusting this mans friends while everyone will struggle with ""i could haves"". I have seen it personally, lived it, lost a friend and been personally affected. This is no easy topic. Let people mourn and let her have heavenly peace. I am protective but this is not the time nor the place."	0
"if he criticizes Manning Centre for believing in ""limited role"" of govt then logically he is for ""unlimited role"" elementary, my dear"	0
Politicians are vile.	1
The woman who gave Russian 1/6 of the US's uranium, that is one the Russian feared?	0
Lamont......my my-my....... aren't you the nasty one doing some rather vicious 'tearing down' of your own? If you had a chance to see the amazing condition of the FJ I managed to find, actually tried one before being so c ocky, you would be somewhat less obnoxious? You did not comment or pay attention to any of the quite valid points in my observations......instead, enjoying too much the smug joys - thinking yourself such a 'clever one' - of going on the attack?	1
I would be OK with committing them to an insane asylum for life. That would also be a suitable punishment, in my opinion. It is very doubtful that they can be cured. >	0
<i>it feeds our anti-growth, anti-newcomer mentality. </i> With newcomers like Kate Brown from Minnesota, Vera Katz from New York City, Jeffy Cogen from Miami, and Tina Kotek from elsewhere on the east coast, I've had about my fill of the damned newcomers. Not content with having fouled their own nests, they seem to feel duty-bound to mess up perfectly fine cities and states elsewhere. Portland Is Over (now leave).	1
Oh tsk,tsk, Cal You didn't like Michelle's vegetable garden on the White House lawn. How do you like future First Lady, Malaria Trump's lesbian themed soft-porn photos? Classy, eh? http://nypost.com/2016/08/01/melania-trumps-girl-on-girl-photos-from-racy-shoot-revealed/	1
KALIHI?! HAHAHAAHA! Hey gov, instead of spending OUR money on this kind of silly projects, why don't you fix the roads on the freeway first. What a wasted 4 year term governor.	1
